 Base:1			 Height:1		Area:0
 Base:1			 Height:2		Area:1
 Base:1			 Height:3		Area:1
 Base:1			 Height:4		Area:2
 Base:1			 Height:5		Area:2
 Base:2			 Height:1		Area:1
 Base:2			 Height:2		Area:2
 Base:2			 Height:3		Area:3
 Base:2			 Height:4		Area:4
 Base:2			 Height:5		Area:5
 Base:3			 Height:1		Area:1
 Base:3			 Height:2		Area:3
 Base:3			 Height:3		Area:4
 Base:3			 Height:4		Area:6
 Base:3			 Height:5		Area:7
 Base:4			 Height:1		Area:2
 Base:4			 Height:2		Area:4
 Base:4			 Height:3		Area:6
 Base:4			 Height:4		Area:8
 Base:4			 Height:5		Area:10
 Base:5			 Height:1		Area:2
 Base:5			 Height:2		Area:5
 Base:5			 Height:3		Area:7
 Base:5			 Height:4		Area:10
 Base:5			 Height:5		Area:12
